x,y,value
0,0,2.80053
0.1,0,2.88742
0.2,0,3.066
0.3,0,3.34669
0.4,0,3.7474
0.5,0,4.29749
0.6,0,5.04581
0.7,0,6.0789
0.8,0,7.56553
0.9,0,9.88033
1,0,13.9873
1.1,0,10.2219
1.2,0,8.25011
1.3,0,7.11816
1.4,0,6.45997
1.5,0,6.11496
1.6,0,6.0051
1.7,0,6.09071
1.8,0,6.35267
1.9,0,6.78486
2,0,7.39088
2.1,0,8.18318
2.2,0,9.18392
2.3,0,10.4277
2.4,0,11.9673
2.5,0,13.8848
2.6,0,16.3151
2.7,0,19.4979
2.8,0,23.9068
2.9,0,30.6084
3,0,42.3788
3.1,0,30.6085
3.2,0,23.8642
3.3,0,19.394
3.4,0,16.1396
3.5,0,13.6299
3.6,0,11.6247
3.7,0,9.98673
3.8,0,8.62956
3.9,0,7.49469
4,0,6.54006
4.1,0,5.73422
4.2,0,5.05313
4.3,0,4.47829
4.4,0,3.99649
4.5,0,3.59797
4.6,0,3.27543
4.7,0,3.02445
4.8,0,2.84349
4.9,0,2.73411
5,0,2.70206
0,0.1,2.76026
0.1,0.1,2.84341
0.2,0.1,3.01378
0.3,0.1,3.27994
0.4,0.1,3.65608
0.5,0.1,4.16366
0.6,0.1,4.83389
0.7,0.1,5.70941
0.8,0.1,6.83708
0.9,0.1,8.21149
1,0.1,9.48154
1.1,0.1,8.54797
1.2,0.1,7.51351
1.3,0.1,6.73718
1.4,0.1,6.23246
1.5,0.1,5.96051
1.6,0.1,5.88698
1.7,0.1,5.98948
1.8,0.1,6.25627
1.9,0.1,6.6842
2,0.1,7.27754
2.1,0.1,8.04769
2.2,0.1,9.0138
2.3,0.1,10.2045
2.4,0.1,11.6608
2.5,0.1,13.441
2.6,0.1,15.6272
2.7,0.1,18.3286
2.8,0.1,21.658
2.9,0.1,25.5612
3,0.1,28.9461
3.1,0.1,25.5489
3.2,0.1,21.6087
3.3,0.1,18.2246
3.4,0.1,15.4569
3.5,0.1,13.1955
3.6,0.1,11.3313
3.7,0.1,9.77999
3.8,0.1,8.47955
3.9,0.1,7.38344
4,0.1,6.4561
4.1,0.1,5.6698
4.2,0.1,5.00276
4.3,0.1,4.43791
4.4,0.1,3.963
4.5,0.1,3.56881
4.6,0.1,3.24835
4.7,0.1,2.99725
4.8,0.1,2.81363
4.9,0.1,2.69799
5,0.1,2.65308
0,0.2,2.68288
0.1,0.2,2.75928
0.2,0.2,2.91495
0.3,0.2,3.15568
0.4,0.2,3.49026
0.5,0.2,3.93007
0.6,0.2,4.48718
0.7,0.2,5.16791
0.8,0.2,5.95385
0.9,0.2,6.75247
1,0.2,7.29464
1.1,0.2,7.08108
1.2,0.2,6.61554
1.3,0.2,6.17376
1.4,0.2,5.85557
1.5,0.2,5.68689
1.6,0.2,5.66915
1.7,0.2,5.79841
1.8,0.2,6.07208
1.9,0.2,6.49103
2,0.2,7.06029
2.1,0.2,7.78934
2.2,0.2,8.69241
2.3,0.2,9.78879
2.4,0.2,11.1027
2.5,0.2,12.6619
2.6,0.2,14.491
2.7,0.2,16.5916
2.8,0.2,18.8844
2.9,0.2,21.0617
3,0.2,22.2859
3.1,0.2,21.0429
3.2,0.2,18.8325
3.3,0.2,16.4924
3.4,0.2,14.3332
3.5,0.2,12.436
3.6,0.2,10.7994
3.7,0.2,9.39697
3.8,0.2,8.19766
3.9,0.2,7.17238
4,0.2,6.29572
4.1,0.2,5.54615
4.2,0.2,4.90573
4.3,0.2,4.3599
4.4,0.2,3.89817
4.5,0.2,3.51233
4.6,0.2,3.19598
4.7,0.2,2.94496
4.8,0.2,2.75711
4.9,0.2,2.632
5,0.2,2.5705
0,0.3,2.57406
0.1,0.3,2.64182
0.2,0.3,2.77893
0.3,0.3,2.98843
0.4,0.3,3.27416
0.5,0.3,3.63934
0.6,0.3,4.08342
0.7,0.3,4.59527
0.8,0.3,5.14024
0.9,0.3,5.63975
1,0.3,5.9572
1.1,0.3,5.95798
1.2,0.3,5.78143
1.3,0.3,5.56994
1.4,0.3,5.40857
1.5,0.3,5.33877
1.6,0.3,5.37862
1.7,0.3,5.53592
1.8,0.3,5.81494
1.9,0.3,6.21978
2,0.3,6.75575
2.1,0.3,7.42997
2.2,0.3,8.25127
2.3,0.3,9.22939
2.4,0.3,10.373
2.5,0.3,11.685
2.6,0.3,13.1525
2.7,0.3,14.7259
2.8,0.3,16.2802
2.9,0.3,17.5545
3,0.3,18.1134
3.1,0.3,17.5348
3.2,0.3,16.2322
3.3,0.3,14.6386
3.4,0.3,13.0154
3.5,0.3,11.4889
3.6,0.3,10.1084
3.7,0.3,8.8852
3.8,0.3,7.81364
3.9,0.3,6.88087
4,0.3,6.07201
4.1,0.3,5.37236
4.2,0.3,4.76857
4.3,0.3,4.24912
4.4,0.3,3.80583
4.5,0.3,3.43176
4.6,0.3,3.12138
4.7,0.3,2.87096
4.8,0.3,2.6783
4.9,0.3,2.54243
5,0.3,2.4632
0,0.4,2.4409
0.1,0.4,2.49926
0.2,0.4,2.61655
0.3,0.4,2.79363
0.4,0.4,3.0308
0.5,0.4,3.32634
0.6,0.4,3.6737
0.7,0.4,4.0571
0.8,0.4,4.44538
0.9,0.4,4.78712
1,0.4,5.01694
1.1,0.4,5.09269
1.2,0.4,5.06109
1.3,0.4,4.99266
1.4,0.4,4.94451
1.5,0.4,4.95374
1.6,0.4,5.04221
1.7,0.4,5.22259
1.8,0.4,5.50276
1.9,0.4,5.88847
2,0.4,6.38472
2.1,0.4,6.99618
2.2,0.4,7.72686
2.3,0.4,8.57878
2.4,0.4,9.54934
2.5,0.4,10.6264
2.6,0.4,11.7795
2.7,0.4,12.9467
2.8,0.4,14.0162
2.9,0.4,14.8128
3,0.4,15.12
3.1,0.4,14.7966
3.2,0.4,13.9779
3.3,0.4,12.8779
3.4,0.4,11.6711
3.5,0.4,10.4695
3.6,0.4,9.33455
3.7,0.4,8.29533
3.8,0.4,7.36148
3.9,0.4,6.53216
4,0.4,5.80116
4.1,0.4,5.16001
4.2,0.4,4.59975
4.3,0.4,4.11199
4.4,0.4,3.69102
4.5,0.4,3.33133
4.6,0.4,3.02846
4.7,0.4,2.7793
4.8,0.4,2.58187
4.9,0.4,2.43504
5,0.4,2.33819
0,0.5,2.29086
0.1,0.5,2.34
0.2,0.5,2.43816
0.3,0.5,2.58478
0.4,0.5,2.77815
0.5,0.5,3.01424
0.6,0.5,3.28485
0.7,0.5,3.57533
0.8,0.5,3.86253
0.9,0.5,4.11525
1,0.5,4.30154
1.1,0.5,4.40623
1.2,0.5,4.44869
1.3,0.5,4.46542
1.4,0.5,4.49249
1.5,0.5,4.55815
1.6,0.5,4.68217
1.7,0.5,4.87776
1.8,0.5,5.15373
1.9,0.5,5.51611
2,0.5,5.96905
2.1,0.5,6.51504
2.2,0.5,7.15438
2.3,0.5,7.88385
2.4,0.5,8.69425
2.5,0.5,9.56651
2.6,0.5,10.4661
2.7,0.5,11.3359
2.8,0.5,12.0909
2.9,0.5,12.6205
3,0.5,12.8129
3.1,0.5,12.6107
3.2,0.5,12.0672
3.3,0.5,11.2916
3.4,0.5,10.3933
3.5,0.5,9.45688
3.6,0.5,8.53871
3.7,0.5,7.67194
3.8,0.5,6.87347
3.9,0.5,6.14958
4,0.5,5.50017
4.1,0.5,4.92159
4.2,0.5,4.40861
4.3,0.5,3.95566
4.4,0.5,3.55944
4.5,0.5,3.21582
4.6,0.5,2.92152
4.7,0.5,2.67421
4.8,0.5,2.4724
4.9,0.5,2.3151
5,0.5,2.20155
0,0.6,2.13093
0.1,0.6,2.17165
0.2,0.6,2.25255
0.3,0.6,2.37235
0.4,0.6,2.5285
0.5,0.6,2.71634
0.6,0.6,2.9282
0.7,0.6,3.15237
0.8,0.6,3.37286
0.9,0.6,3.5711
1,0.6,3.73084
1.1,0.6,3.84601
1.2,0.6,3.92642
1.3,0.6,3.99226
1.4,0.6,4.06626
1.5,0.6,4.16864
1.6,0.6,4.3153
1.7,0.6,4.51788
1.8,0.6,4.78454
1.9,0.6,5.12065
2,0.6,5.52927
2.1,0.6,6.01113
2.2,0.6,6.56404
2.3,0.6,7.1818
2.4,0.6,7.85226
2.5,0.6,8.5548
2.6,0.6,9.25723
2.7,0.6,9.91302
2.8,0.6,10.4612
2.9,0.6,10.8322
3,0.6,10.9647
3.1,0.6,10.8311
3.2,0.6,10.4559
3.3,0.6,9.89802
3.4,0.6,9.22569
3.5,0.6,8.49898
3.6,0.6,7.76342
3.7,0.6,7.04981
3.8,0.6,6.37678
3.9,0.6,5.75396
4,0.6,5.18487
4.1,0.6,4.66916
4.2,0.6,4.2044
4.3,0.6,3.78741
4.4,0.6,3.4169
4.5,0.6,3.09009
4.6,0.6,2.80487
4.7,0.6,2.55984
4.8,0.6,2.35416
4.9,0.6,2.18726
5,0.6,2.05855
0,0.7,1.96715
0.1,0.7,2.00052
0.2,0.7,2.06658
0.3,0.7,2.16378
0.4,0.7,2.28944
0.5,0.7,2.43922
0.6,0.7,2.60675
0.7,0.7,2.78331
0.8,0.7,2.95824
0.9,0.7,3.12043
1,0.7,3.26126
1.1,0.7,3.37827
1.2,0.7,3.47718
1.3,0.7,3.56998
1.4,0.7,3.67122
1.5,0.7,3.79505
1.6,0.7,3.95351
1.7,0.7,4.156
1.8,0.7,4.40927
1.9,0.7,4.71763
2,0.7,5.08303
2.1,0.7,5.50489
2.2,0.7,5.97958
2.3,0.7,6.49959
2.4,0.7,7.05226
2.5,0.7,7.61826
2.6,0.7,8.17024
2.7,0.7,8.67226
2.8,0.7,9.08142
2.9,0.7,9.35331
3,0.7,9.45204
3.1,0.7,9.36253
3.2,0.7,9.09732
3.3,0.7,8.69027
3.4,0.7,8.18432
3.5,0.7,7.62119
3.6,0.7,7.03564
3.7,0.7,6.45353
3.8,0.7,5.89228
3.9,0.7,5.36231
4,0.7,4.86883
4.1,0.7,4.41342
4.2,0.7,3.99554
4.3,0.7,3.614
4.4,0.7,3.26889
4.5,0.7,2.95874
4.6,0.7,2.68257
4.7,0.7,2.43999
4.8,0.7,2.23096
4.9,0.7,2.05555
5,0.7,1.91357
0,0.8,1.80435
0.1,0.8,1.83155
0.2,0.8,1.88524
0.3,0.8,1.96393
0.4,0.8,2.06518
0.5,0.8,2.18536
0.6,0.8,2.31949
0.7,0.8,2.46136
0.8,0.8,2.60395
0.9,0.8,2.74056
1,0.8,2.86649
1.1,0.8,2.98082
1.2,0.8,3.08726
1.3,0.8,3.19332
1.4,0.8,3.30857
1.5,0.8,3.44282
1.6,0.8,3.60488
1.7,0.8,3.80191
1.8,0.8,4.03911
1.9,0.8,4.31963
2,0.8,4.64442
2.1,0.8,5.01204
2.2,0.8,5.41821
2.3,0.8,5.85522
2.4,0.8,6.3112
2.5,0.8,6.76934
2.6,0.8,7.20748
2.7,0.8,7.59855
2.8,0.8,7.91243
2.9,0.8,8.12
3,0.8,8.1991
3.1,0.8,8.14063
3.2,0.8,7.95157
3.3,0.8,7.65226
3.4,0.8,7.27031
3.5,0.8,6.83449
3.6,0.8,6.37052
3.7,0.8,5.89895
3.8,0.8,5.43467
3.9,0.8,4.98742
4,0.8,4.56276
4.1,0.8,4.16319
4.2,0.8,3.78923
4.3,0.8,3.44124
4.4,0.8,3.12022
4.5,0.8,2.82582
4.6,0.8,2.5582
4.7,0.8,2.31797
4.8,0.8,2.10604
4.9,0.8,1.92326
5,0.8,1.77006
0,0.9,1.64618
0.1,0.9,1.66831
0.2,0.9,1.71192
0.3,0.9,1.77573
0.4,0.9,1.85769
0.5,0.9,1.95493
0.6,0.9,2.06377
0.7,0.9,2.17987
0.8,0.9,2.29863
0.9,0.9,2.416
1,0.9,2.52938
1.1,0.9,2.63857
1.2,0.9,2.74613
1.3,0.9,2.857
1.4,0.9,2.97759
1.5,0.9,3.11468
1.6,0.9,3.2746
1.7,0.9,3.46257
1.8,0.9,3.68237
1.9,0.9,3.93606
2,0.9,4.22385
2.1,0.9,4.54377
2.2,0.9,4.8914
2.3,0.9,5.25947
2.4,0.9,5.63749
2.5,0.9,6.01144
2.6,0.9,6.36383
2.7,0.9,6.67445
2.8,0.9,6.922
2.9,0.9,7.08688
3,0.9,7.15473
3.1,0.9,7.11967
3.2,0.9,6.98575
3.3,0.9,6.76565
3.4,0.9,6.47745
3.5,0.9,6.14097
3.6,0.9,5.77492
3.7,0.9,5.39503
3.8,0.9,5.01331
3.9,0.9,4.6381
4,0.9,4.27451
4.1,0.9,3.92519
4.2,0.9,3.59113
4.3,0.9,3.27383
4.4,0.9,2.97481
4.5,0.9,2.69471
4.6,0.9,2.43471
4.7,0.9,2.19649
4.8,0.9,1.982
4.9,0.9,1.79299
5,0.9,1.63064
0,1,1.49521
0.1,1,1.51324
0.2,1,1.54876
0.3,1,1.60072
0.4,1,1.66751
0.5,1,1.74697
0.6,1,1.83644
0.7,1,1.93296
0.8,1,2.03354
0.9,1,2.13575
1,1,2.23815
1.1,1,2.34088
1.2,1,2.4458
1.3,1,2.55628
1.4,1,2.67666
1.5,1,2.81167
1.6,1,2.96574
1.7,1,3.14257
1.8,1,3.34475
1.9,1,3.57348
2,1,3.82838
2.1,1,4.10726
2.2,1,4.40586
2.3,1,4.71765
2.4,1,5.03368
2.5,1,5.34251
2.6,1,5.63052
2.7,1,5.88263
2.8,1,6.0836
2.9,1,6.21988
3,1,6.2818
3.1,1,6.26532
3.2,1,6.17282
3.3,1,6.01242
3.4,1,5.79609
3.5,1,5.53754
3.6,1,5.25015
3.7,1,4.94565
3.8,1,4.6333
3.9,1,4.31976
4,1,4.00926
4.1,1,3.70411
4.2,1,3.40537
4.3,1,3.1153
4.4,1,2.83569
4.5,1,2.56799
4.6,1,2.3144
4.7,1,2.07768
4.8,1,1.86086
4.9,1,1.6667
5,1,1.49717
0,1.1,1.35312
0.1,1.1,1.36786
0.2,1.1,1.39692
0.3,1.1,1.43949
0.4,1.1,1.49436
0.5,1.1,1.55994
0.6,1.1,1.63438
0.7,1.1,1.71569
0.8,1.1,1.80198
0.9,1.1,1.89177
1,1.1,1.98436
1.1,1.1,2.08001
1.2,1.1,2.18013
1.3,1.1,2.28707
1.4,1.1,2.40385
1.5,1.1,2.53373
1.6,1.1,2.6798
1.7,1.1,2.84459
1.8,1.1,3.02976
1.9,1.1,3.23588
2,1.1,3.46218
2.1,1.1,3.70639
2.2,1.1,3.96459
2.3,1.1,4.23109
2.4,1.1,4.49839
2.5,1.1,4.75727
2.6,1.1,4.99717
2.7,1.1,5.20676
2.8,1.1,5.37496
2.9,1.1,5.4922
3,1.1,5.55169
3.1,1.1,5.55055
3.2,1.1,5.49013
3.3,1.1,5.37568
3.4,1.1,5.21522
3.5,1.1,5.01816
3.6,1.1,4.79397
3.7,1.1,4.55114
3.8,1.1,4.29652
3.9,1.1,4.03506
4,1.1,3.76994
4.1,1.1,3.50284
4.2,1.1,3.2346
4.3,1.1,2.96803
4.4,1.1,2.70492
4.5,1.1,2.4475
4.6,1.1,2.1989
4.7,1.1,1.96304
4.8,1.1,1.74405
4.9,1.1,1.54573
5,1.1,1.37087
0,1.2,1.22085
0.1,1.2,1.23297
0.2,1.2,1.25689
0.3,1.2,1.29202
0.4,1.2,1.33746
0.5,1.2,1.39212
0.6,1.2,1.45473
0.7,1.2,1.52397
0.8,1.2,1.5987
0.9,1.2,1.67806
1,1.2,1.76175
1.1,1.2,1.85012
1.2,1.2,1.94426
1.3,1.2,2.04587
1.4,1.2,2.15706
1.5,1.2,2.28011
1.6,1.2,2.41713
1.7,1.2,2.56982
1.8,1.2,2.73915
1.9,1.2,2.92523
2,1.2,3.12706
2.1,1.2,3.34244
2.2,1.2,3.56783
2.3,1.2,3.79835
2.4,1.2,4.02776
2.5,1.2,4.24868
2.6,1.2,4.45285
2.7,1.2,4.63171
2.8,1.2,4.77705
2.9,1.2,4.88191
3,1.2,4.94141
3.1,1.2,4.95334
3.2,1.2,4.91842
3.3,1.2,4.84003
3.4,1.2,4.72352
3.5,1.2,4.57531
3.6,1.2,4.40198
3.7,1.2,4.20945
3.8,1.2,4.00252
3.9,1.2,3.78457
4,1.2,3.55765
4.1,1.2,3.3227
4.2,1.2,3.08028
4.3,1.2,2.83335
4.4,1.2,2.58373
4.5,1.2,2.33433
4.6,1.2,2.08926
4.7,1.2,1.85355
4.8,1.2,1.63252
4.9,1.2,1.43098
5,1.2,1.25247
0,1.3,1.09884
0.1,1.3,1.10886
0.2,1.3,1.12869
0.3,1.3,1.15789
0.4,1.3,1.19584
0.5,1.3,1.24179
0.6,1.3,1.29492
0.7,1.3,1.3544
0.8,1.3,1.41956
0.9,1.3,1.48996
1,1.3,1.56555
1.1,1.3,1.64672
1.2,1.3,1.73433
1.3,1.3,1.82966
1.4,1.3,1.93422
1.5,1.3,2.04961
1.6,1.3,2.17729
1.7,1.3,2.31834
1.8,1.3,2.47328
1.9,1.3,2.6419
2,1.3,2.8231
2.1,1.3,3.0148
2.2,1.3,3.21388
2.3,1.3,3.41614
2.4,1.3,3.61644
2.5,1.3,3.8088
2.6,1.3,3.98674
2.7,1.3,4.14365
2.8,1.3,4.27335
2.9,1.3,4.37064
3,1.3,4.43185
3.1,1.3,4.45523
3.2,1.3,4.44107
3.3,1.3,4.39148
3.4,1.3,4.30999
3.5,1.3,4.20088
3.6,1.3,4.06857
3.7,1.3,3.91701
3.8,1.3,3.74926
3.9,1.3,3.56733
4,1.3,3.37213
4.1,1.3,3.16379
4.2,1.3,2.94281
4.3,1.3,2.71172
4.4,1.3,2.47259
4.5,1.3,2.22898
4.6,1.3,1.98597
4.7,1.3,1.74975
4.8,1.3,1.52681
4.9,1.3,1.32292
5,1.3,1.1423
0,1.4,0.987113
0.1,1.4,0.995463
0.2,1.4,1.01201
0.3,1.4,1.03644
0.4,1.4,1.06837
0.5,1.4,1.10731
0.6,1.4,1.15273
0.7,1.4,1.20417
0.8,1.4,1.26126
0.9,1.4,1.32384
1,1.4,1.39203
1.1,1.4,1.46622
1.2,1.4,1.54715
1.3,1.4,1.6358
1.4,1.4,1.73329
1.5,1.4,1.84078
1.6,1.4,1.95927
1.7,1.4,2.08944
1.8,1.4,2.23152
1.9,1.4,2.38511
2,1.4,2.5491
2.1,1.4,2.72157
2.2,1.4,2.89975
2.3,1.4,3.08009
2.4,1.4,3.25828
2.5,1.4,3.42946
2.6,1.4,3.58843
2.7,1.4,3.73002
2.8,1.4,3.84944
2.9,1.4,3.94267
3,1.4,4.00686
3.1,1.4,4.04054
3.2,1.4,4.04366
3.3,1.4,4.01749
3.4,1.4,3.96425
3.5,1.4,3.88669
3.6,1.4,3.7876
3.7,1.4,3.66938
3.8,1.4,3.53369
3.9,1.4,3.38129
4,1.4,3.21208
4.1,1.4,3.02536
4.2,1.4,2.82162
4.3,1.4,2.60283
4.4,1.4,2.37135
4.5,1.4,2.1314
4.6,1.4,1.8891
4.7,1.4,1.6518
4.8,1.4,1.42713
4.9,1.4,1.22176
5,1.4,1.04042
0,1.5,0.885444
0.1,1.5,0.892442
0.2,1.5,0.906332
0.3,1.5,0.926924
0.4,1.5,0.953966
0.5,1.5,0.987164
0.6,1.5,1.02623
0.7,1.5,1.07092
0.8,1.5,1.1211
0.9,1.5,1.17679
1,1.5,1.2382
1.1,1.5,1.30575
1.2,1.5,1.38008
1.3,1.5,1.46199
1.4,1.5,1.55235
1.5,1.5,1.65202
1.6,1.5,1.76173
1.7,1.5,1.88191
1.8,1.5,2.01261
1.9,1.5,2.15335
2,1.5,2.30306
2.1,1.5,2.45999
2.2,1.5,2.62174
2.3,1.5,2.78525
2.4,1.5,2.94688
2.5,1.5,3.10261
2.6,1.5,3.24821
2.7,1.5,3.37951
2.8,1.5,3.49266
2.9,1.5,3.58447
3,1.5,3.6526
3.1,1.5,3.69574
3.2,1.5,3.71361
3.3,1.5,3.70683
3.4,1.5,3.67669
3.5,1.5,3.6248
3.6,1.5,3.55274
3.7,1.5,3.46167
3.8,1.5,3.35209
3.9,1.5,3.22369
4,1.5,3.07545
4.1,1.5,2.90591
4.2,1.5,2.71554
4.3,1.5,2.50579
4.4,1.5,2.27933
4.5,1.5,2.04115
4.6,1.5,1.79837
4.7,1.5,1.55958
4.8,1.5,1.33346
4.9,1.5,1.12747
5,1.5,0.946699
0,1.6,0.793423
0.1,1.6,0.799321
0.2,1.6,0.811051
0.3,1.6,0.828501
0.4,1.6,0.851529
0.5,1.6,0.879982
0.6,1.6,0.91373
0.7,1.6,0.952693
0.8,1.6,0.996886
0.9,1.6,1.04644
1,1.6,1.10165
1.1,1.6,1.16294
1.2,1.6,1.23089
1.3,1.6,1.3062
1.4,1.6,1.38957
1.5,1.6,1.48171
1.6,1.6,1.58316
1.7,1.6,1.69423
1.8,1.6,1.81487
1.9,1.6,1.94463
2,1.6,2.08249
2.1,1.6,2.22693
2.2,1.6,2.37581
2.3,1.6,2.52651
2.4,1.6,2.67593
2.5,1.6,2.82066
2.6,1.6,2.95717
2.7,1.6,3.08198
2.8,1.6,3.19191
2.9,1.6,3.28429
3,1.6,3.35712
3.1,1.6,3.40914
3.2,1.6,3.43987
3.3,1.6,3.44945
3.4,1.6,3.43848
3.5,1.6,3.40771
3.6,1.6,3.35775
3.7,1.6,3.28879
3.8,1.6,3.20037
3.9,1.6,3.09126
4,1.6,2.95963
4.1,1.6,2.80334
4.2,1.6,2.62288
4.3,1.6,2.41924
4.4,1.6,2.19551
4.5,1.6,1.95744
4.6,1.6,1.71329
4.7,1.6,1.47279
4.8,1.6,1.24565
4.9,1.6,1.03992
5,1.6,0.860861
0,1.7,0.710534
0.1,1.7,0.71553
0.2,1.7,0.725486
0.3,1.7,0.740346
0.4,1.7,0.760045
0.5,1.7,0.784531
0.6,1.7,0.813779
0.7,1.7,0.847823
0.8,1.7,0.886776
0.9,1.7,0.930854
1,1.7,0.980386
1.1,1.7,1.03582
1.2,1.7,1.0977
